# range_bin,doppler_bin,angle_deg,snr,zone_flag
88.0,8,0.5,95.1,0
145.0,8,0.6,95.1,1
72.0,8,0.1,95.1,0
62.0,8,0.3,95.1,0
76.0,8,0.2,95.1,0
49.0,8,0.2,95.1,0
84.0,8,0.1,95.1,0
86.0,8,0.4,95.1,0
87.0,8,0.5,95.1,0
150.0,8,0.2,95.1,0
52.0,8,0.8,95.1,0
66.0,8,0.3,95.1,0
159.0,8,0.6,95.1,0
68.0,8,-0.0,95.1,0
85.0,8,0.4,95.1,0
137.0,9,0.4,95.7,1
46.0,8,-0.7,95.2,0
48.0,8,-0.4,95.2,0
59.0,8,-0.4,95.4,0
60.0,8,-0.0,95.4,0
61.0,8,0.4,95.2,0
69.0,8,-0.3,95.2,0
70.0,8,-0.4,95.2,0
71.0,8,-0.4,95.3,0
133.0,8,0.5,95.6,1
123.0,8,0.7,95.3,1
124.0,8,0.7,95.6,1
125.0,8,0.6,95.2,1
193.0,8,4.4,96.7,0
192.0,8,4.7,96.0,0
191.0,8,4.5,95.6,0
190.0,8,4.0,95.7,0
189.0,8,3.4,95.3,0
187.0,8,-0.1,95.2,0
186.0,8,-2.8,95.2,0
180.0,8,-1.9,95.8,0
179.0,8,-4.6,96.1,0
176.0,8,-3.6,95.2,0
175.0,8,-2.5,95.9,0
174.0,8,-2.6,95.6,0
173.0,8,-3.6,95.3,0
172.0,8,-5.8,95.5,0
171.0,8,-8.4,95.5,0
164.0,8,9.5,95.3,0
161.0,8,1.4,95.3,0
160.0,8,0.0,95.6,0
157.0,8,-9.7,95.5,0
156.0,8,-16.3,95.6,0
155.0,8,-19.3,95.8,0
154.0,8,-19.8,95.6,0
153.0,8,-19.7,95.2,0
149.0,8,-20.2,95.4,1
148.0,8,-8.6,95.3,1
143.0,8,25.4,95.2,1
142.0,8,25.1,95.3,1
141.0,8,24.6,95.5,1
140.0,8,23.9,95.6,1
139.0,8,23.3,95.3,1
138.0,8,23.0,95.3,1
137.0,8,23.2,95.8,1
136.0,8,23.7,95.5,1
135.0,8,24.5,95.2,1
134.0,8,25.4,95.2,1
193.0,9,14.3,95.4,0
186.0,8,-0.6,101.0,0
185.0,8,-0.4,101.2,0
192.0,8,-0.2,101.8,0
123.0,8,-0.1,101.2,1
124.0,8,0.1,101.4,1
129.0,8,-0.3,101.2,1
136.0,8,0.0,101.2,1
137.0,8,-0.1,102.0,1
138.0,8,-0.2,101.8,1
88.0,8,0.2,101.0,0
87.0,8,0.1,101.1,0
139.0,8,-0.4,101.2,1
140.0,8,-0.4,101.4,1
141.0,8,-0.2,101.5,1
142.0,8,0.1,101.5,1
143.0,8,0.3,101.2,1
144.0,8,0.3,101.1,1
145.0,8,0.1,101.2,1
148.0,8,0.1,101.2,1
149.0,8,0.2,101.2,1
150.0,8,0.1,101.2,0
151.0,8,-0.1,101.0,0
75.0,8,0.4,101.1,0
74.0,8,0.3,101.1,0
153.0,8,-0.5,101.2,0
72.0,8,-0.0,101.1,0
71.0,8,-0.1,101.3,0
70.0,8,-0.2,101.2,0
69.0,8,-0.2,101.2,0
154.0,8,-1.0,101.2,0
155.0,8,-0.9,101.7,0
156.0,8,-0.5,101.8,0
157.0,8,0.4,101.3,0
159.0,8,2.0,101.5,0
160.0,8,2.3,101.6,0
161.0,8,2.6,101.4,0
162.0,8,2.8,101.3,0
60.0,8,0.3,101.1,0
59.0,8,0.0,101.2,0
163.0,8,3.7,101.6,0
164.0,8,3.9,101.8,0
165.0,8,3.9,101.4,0
166.0,8,3.6,101.1,0
168.0,8,2.2,101.4,0
169.0,8,2.8,101.5,0
52.0,8,4.2,101.0,0
170.0,8,4.7,101.7,0
50.0,8,0.8,101.0,0
49.0,8,-3.4,101.1,0
171.0,8,7.0,102.0,0
172.0,8,7.8,101.7,0
173.0,8,8.4,101.3,0
174.0,8,8.9,101.4,0
189.0,8,6.7,101.3,0
