frame,range_bin,doppler_bin,angle_rad,snr,zone_flag
0.000000,147.000000,8.000000,0.000000,76.124886,1.000000
0.000000,116.000000,8.000000,-0.927295,77.756012,1.000000
0.000000,106.000000,8.000000,0.000000,77.502060,1.000000
0.000000,74.000000,8.000000,-0.000000,79.838623,0.000000
0.000000,124.000000,8.000000,0.000000,76.367264,1.000000
0.000000,73.000000,8.000000,-0.643501,80.089363,0.000000
0.000000,136.000000,8.000000,-0.927295,76.696045,1.000000
0.000000,137.000000,8.000000,-0.927295,78.764160,1.000000
0.000000,138.000000,8.000000,-0.000000,83.997063,1.000000
0.000000,139.000000,8.000000,-0.000000,81.919037,1.000000
0.000000,47.000000,8.000000,0.000000,76.352821,0.000000
0.000000,46.000000,8.000000,-0.000000,78.260681,0.000000
0.000000,145.000000,8.000000,0.201358,76.180664,1.000000
0.000000,193.000000,7.000000,0.643501,81.715538,0.000000
0.000000,148.000000,8.000000,-0.411517,76.451767,1.000000
0.000000,149.000000,8.000000,-0.000000,77.179573,1.000000
0.000000,182.000000,7.000000,-0.000000,79.563179,0.000000
0.000000,153.000000,8.000000,-0.643501,79.638481,0.000000
0.000000,156.000000,8.000000,0.000000,79.537140,0.000000
0.000000,157.000000,8.000000,-0.927295,81.779648,0.000000
0.000000,158.000000,8.000000,0.643501,86.035995,0.000000
0.000000,159.000000,8.000000,0.643501,84.599907,0.000000
0.000000,160.000000,8.000000,-0.201358,86.192146,0.000000
0.000000,161.000000,8.000000,-0.000000,82.925743,0.000000
0.000000,164.000000,8.000000,-0.643501,82.625336,0.000000
0.000000,165.000000,8.000000,-0.000000,88.545937,0.000000
0.000000,166.000000,8.000000,0.643501,82.852692,0.000000
0.000000,169.000000,8.000000,-0.000000,78.087067,0.000000
0.000000,170.000000,8.000000,0.201358,79.449707,0.000000
0.000000,171.000000,8.000000,-0.000000,76.461441,0.000000
0.000000,165.000000,7.000000,-0.201358,83.563187,0.000000
0.000000,173.000000,8.000000,-0.000000,79.346115,0.000000
0.000000,174.000000,8.000000,-0.000000,80.194344,0.000000
0.000000,160.000000,7.000000,-0.643501,80.891373,0.000000
0.000000,180.000000,8.000000,-0.643501,79.222420,0.000000
0.000000,181.000000,8.000000,-0.000000,83.176964,0.000000
0.000000,182.000000,8.000000,0.000000,84.632896,0.000000
0.000000,183.000000,8.000000,-0.411517,82.525627,0.000000
0.000000,184.000000,8.000000,-0.000000,79.295319,0.000000
0.000000,185.000000,8.000000,-0.000000,83.699516,0.000000
0.000000,186.000000,8.000000,0.201358,82.658813,0.000000
0.000000,189.000000,8.000000,0.000000,80.495590,0.000000
0.000000,190.000000,8.000000,0.000000,80.387375,0.000000
0.000000,192.000000,8.000000,-0.000000,81.300613,0.000000
0.000000,193.000000,8.000000,0.000000,86.727295,0.000000
0.000000,158.000000,7.000000,-0.000000,80.932808,0.000000
0.000000,139.000000,7.000000,0.000000,76.730103,1.000000
0.000000,138.000000,9.000000,0.000000,79.132652,1.000000
0.000000,139.000000,9.000000,-0.927295,76.985573,1.000000
0.000000,157.000000,9.000000,0.201358,76.992882,0.000000
0.000000,158.000000,9.000000,-0.000000,80.742722,0.000000
0.000000,159.000000,9.000000,-0.000000,79.318489,0.000000
0.000000,160.000000,9.000000,0.000000,80.928879,0.000000
0.000000,161.000000,9.000000,-0.643501,77.621300,0.000000
0.000000,164.000000,9.000000,-0.000000,77.363739,0.000000
0.000000,165.000000,9.000000,0.201358,83.302948,0.000000
0.000000,166.000000,9.000000,-0.000000,77.853661,0.000000
0.000000,138.000000,7.000000,-0.000000,78.514854,1.000000
0.000000,181.000000,9.000000,0.201358,78.200111,0.000000
0.000000,182.000000,9.000000,-0.411517,79.489296,0.000000
0.000000,183.000000,9.000000,-0.000000,77.422470,0.000000
0.000000,185.000000,9.000000,0.000000,78.499237,0.000000
0.000000,186.000000,9.000000,-0.000000,77.345398,0.000000
0.000000,193.000000,9.000000,-0.000000,81.404114,0.000000
2.000000,86.000000,8.000000,-0.201358,101.590195,0.000000
2.000000,54.000000,8.000000,-0.000000,101.591072,0.000000
2.000000,63.000000,8.000000,-0.000000,101.613327,0.000000
2.000000,169.000000,8.000000,-0.201358,101.615768,0.000000
2.000000,139.000000,8.000000,0.201358,101.602264,1.000000
2.000000,44.000000,8.000000,-0.201358,101.616585,0.000000
2.000000,42.000000,8.000000,-0.000000,101.604240,0.000000
2.000000,181.000000,8.000000,-0.927295,101.606415,0.000000
2.000000,53.000000,8.000000,-0.000000,101.619415,0.000000
2.000000,77.000000,8.000000,-0.000000,101.611572,0.000000
2.000000,62.000000,8.000000,-0.000000,101.625298,0.000000
2.000000,68.000000,8.000000,0.000000,101.627228,0.000000
2.000000,61.000000,8.000000,-0.643501,101.632973,0.000000
2.000000,59.000000,8.000000,-0.000000,101.644478,0.000000
2.000000,155.000000,8.000000,-0.000000,101.629662,0.000000
2.000000,71.000000,8.000000,-0.643501,101.635567,0.000000
2.000000,49.000000,8.000000,-0.000000,101.645302,0.000000
2.000000,69.000000,8.000000,0.000000,101.667252,0.000000
2.000000,70.000000,8.000000,-0.000000,101.729652,0.000000
2.000000,67.000000,8.000000,-0.000000,101.704941,0.000000
2.000000,48.000000,8.000000,-0.000000,101.687004,0.000000
2.000000,80.000000,8.000000,-0.201358,101.662224,0.000000
2.000000,64.000000,8.000000,-0.643501,101.738274,0.000000
2.000000,45.000000,8.000000,0.643501,101.663551,0.000000
2.000000,179.000000,8.000000,-0.201358,101.672462,0.000000
2.000000,123.000000,8.000000,0.000000,101.729630,1.000000
2.000000,146.000000,8.000000,-0.000000,101.687408,1.000000
2.000000,145.000000,8.000000,0.000000,101.686028,1.000000
2.000000,58.000000,8.000000,-0.000000,101.673615,0.000000
2.000000,41.000000,8.000000,-0.000000,101.679581,0.000000
2.000000,36.000000,8.000000,-0.643501,101.723862,0.000000
2.000000,152.000000,8.000000,-0.000000,101.654823,0.000000
2.000000,40.000000,8.000000,0.000000,101.708092,0.000000
2.000000,186.000000,8.000000,0.000000,101.663857,0.000000
2.000000,37.000000,8.000000,-0.000000,101.741028,0.000000
2.000000,38.000000,8.000000,-0.000000,101.752510,0.000000
2.000000,175.000000,8.000000,-0.201358,101.771362,0.000000
2.000000,171.000000,8.000000,0.000000,101.817398,0.000000
2.000000,147.000000,8.000000,0.201358,101.781700,1.000000
2.000000,73.000000,8.000000,-0.000000,101.844894,0.000000
2.000000,75.000000,8.000000,-0.643501,101.904091,0.000000
2.000000,76.000000,8.000000,-0.000000,101.770866,0.000000
2.000000,170.000000,8.000000,-0.000000,101.819725,0.000000
2.000000,177.000000,8.000000,0.000000,101.831184,0.000000
2.000000,148.000000,8.000000,-0.201358,101.891144,1.000000
2.000000,149.000000,8.000000,-0.201358,101.847252,1.000000
2.000000,126.000000,8.000000,-0.201358,101.827522,1.000000
2.000000,125.000000,8.000000,0.201358,101.800980,1.000000
2.000000,124.000000,8.000000,0.000000,101.770348,1.000000
2.000000,151.000000,8.000000,0.927295,101.852165,0.000000
2.000000,153.000000,8.000000,0.000000,101.854668,0.000000
2.000000,39.000000,8.000000,0.000000,101.765808,0.000000
2.000000,180.000000,8.000000,0.000000,101.913872,0.000000
2.000000,176.000000,8.000000,0.000000,101.953972,0.000000
2.000000,138.000000,8.000000,-0.000000,102.312172,1.000000
2.000000,137.000000,8.000000,0.201358,102.086426,1.000000
2.000000,163.000000,8.000000,0.643501,102.900185,0.000000
2.000000,193.000000,8.000000,-0.643501,102.095757,0.000000
2.000000,74.000000,8.000000,0.000000,102.251030,0.000000
2.000000,150.000000,8.000000,0.643501,101.988556,0.000000
2.000000,154.000000,8.000000,-0.927295,101.918083,0.000000
2.000000,161.000000,8.000000,0.000000,102.133194,0.000000
2.000000,164.000000,8.000000,0.000000,102.444199,0.000000
2.000000,162.000000,8.000000,0.000000,102.624390,0.000000
3.000000,181.000000,8.000000,0.000000,101.541718,0.000000
3.000000,68.000000,8.000000,0.000000,101.545609,0.000000
3.000000,77.000000,8.000000,-0.000000,101.551979,0.000000
3.000000,43.000000,8.000000,-0.000000,101.556763,0.000000
3.000000,139.000000,8.000000,-0.000000,101.578491,1.000000
3.000000,185.000000,8.000000,0.000000,101.579422,0.000000
3.000000,152.000000,8.000000,-0.000000,101.598030,0.000000
3.000000,53.000000,8.000000,-0.927295,101.562935,0.000000
3.000000,58.000000,8.000000,0.000000,101.610619,0.000000
3.000000,59.000000,8.000000,0.000000,101.605980,0.000000
3.000000,49.000000,8.000000,-0.643501,101.617126,0.000000
3.000000,45.000000,8.000000,0.201358,101.626350,0.000000
3.000000,71.000000,8.000000,-0.643501,101.597832,0.000000
3.000000,61.000000,8.000000,-0.643501,101.584351,0.000000
3.000000,69.000000,8.000000,-0.643501,101.582191,0.000000
3.000000,169.000000,8.000000,-0.643501,101.614357,0.000000
3.000000,62.000000,8.000000,-0.000000,101.596489,0.000000
3.000000,44.000000,8.000000,-0.000000,101.567703,0.000000
3.000000,42.000000,8.000000,-0.000000,101.623177,0.000000
3.000000,63.000000,8.000000,0.000000,101.571152,0.000000
3.000000,80.000000,8.000000,-0.000000,101.630096,0.000000
3.000000,64.000000,8.000000,-0.643501,101.680847,0.000000
3.000000,67.000000,8.000000,-0.000000,101.649536,0.000000
3.000000,70.000000,8.000000,-0.643501,101.702042,0.000000
3.000000,73.000000,8.000000,-0.000000,101.755432,0.000000
3.000000,74.000000,8.000000,-0.643501,102.208206,0.000000
3.000000,179.000000,8.000000,0.643501,101.662979,0.000000
3.000000,75.000000,8.000000,-0.643501,101.863312,0.000000
3.000000,76.000000,8.000000,-0.000000,101.720619,0.000000
3.000000,176.000000,8.000000,0.643501,101.872147,0.000000
3.000000,161.000000,8.000000,-0.000000,102.107285,0.000000
3.000000,155.000000,8.000000,-0.000000,101.661880,0.000000
3.000000,170.000000,8.000000,-0.000000,101.785416,0.000000
3.000000,171.000000,8.000000,0.000000,101.772408,0.000000
3.000000,154.000000,8.000000,-0.000000,101.899200,0.000000
3.000000,153.000000,8.000000,-0.000000,101.787766,0.000000
3.000000,177.000000,8.000000,0.643501,101.746399,0.000000
3.000000,151.000000,8.000000,0.643501,101.837219,0.000000
3.000000,150.000000,8.000000,-0.000000,101.972809,0.000000
3.000000,149.000000,8.000000,-0.000000,101.811409,1.000000
3.000000,48.000000,8.000000,-0.000000,101.652908,0.000000
3.000000,175.000000,8.000000,0.643501,101.700386,0.000000
3.000000,148.000000,8.000000,0.927295,101.838554,1.000000
3.000000,147.000000,8.000000,-0.927295,101.763412,1.000000
3.000000,146.000000,8.000000,-0.000000,101.713913,1.000000
3.000000,145.000000,8.000000,-0.000000,101.691986,1.000000
3.000000,123.000000,8.000000,0.643501,101.705612,1.000000
3.000000,41.000000,8.000000,-0.000000,101.705475,0.000000
3.000000,40.000000,8.000000,-0.927295,101.705566,0.000000
3.000000,39.000000,8.000000,-0.643501,101.722778,0.000000
3.000000,38.000000,8.000000,-0.000000,101.714256,0.000000
