frame,range_bin,doppler_bin,angle_rad,snr,zone_flag
0.000000,105.000000,8.000000,0.000000,74.694786,1.000000
0.000000,86.000000,8.000000,-0.000000,74.966309,0.000000
0.000000,130.000000,8.000000,-0.643501,74.742317,1.000000
0.000000,162.000000,9.000000,0.000000,75.460419,0.000000
0.000000,116.000000,9.000000,-0.411517,75.438454,1.000000
0.000000,85.000000,8.000000,-0.643501,75.409798,0.000000
0.000000,63.000000,8.000000,0.643501,75.522125,0.000000
0.000000,106.000000,8.000000,-0.000000,76.201950,1.000000
0.000000,145.000000,9.000000,-0.643501,75.535950,1.000000
0.000000,175.000000,8.000000,-0.000000,75.929993,0.000000
0.000000,183.000000,8.000000,-0.000000,75.760948,0.000000
0.000000,142.000000,8.000000,-0.000000,76.328178,1.000000
0.000000,124.000000,8.000000,-0.643501,76.194778,1.000000
0.000000,49.000000,8.000000,-0.000000,75.789955,0.000000
0.000000,158.000000,8.000000,-0.000000,75.961220,0.000000
0.000000,131.000000,8.000000,-0.201358,75.817276,1.000000
0.000000,180.000000,8.000000,-0.411517,75.625946,0.000000
0.000000,107.000000,8.000000,-0.000000,76.377228,1.000000
0.000000,185.000000,8.000000,-0.000000,77.156624,0.000000
0.000000,143.000000,8.000000,-0.000000,77.333542,1.000000
0.000000,144.000000,8.000000,-0.927295,77.089417,1.000000
0.000000,184.000000,8.000000,-0.000000,76.873825,0.000000
0.000000,188.000000,8.000000,-0.000000,76.815910,0.000000
0.000000,151.000000,8.000000,0.000000,76.853699,0.000000
0.000000,179.000000,8.000000,0.000000,77.522568,0.000000
0.000000,160.000000,9.000000,-0.643501,76.672981,0.000000
0.000000,164.000000,8.000000,0.000000,77.459724,0.000000
0.000000,156.000000,8.000000,0.201358,77.129959,0.000000
0.000000,190.000000,9.000000,0.411517,77.539574,0.000000
0.000000,155.000000,8.000000,0.000000,78.125336,0.000000
0.000000,154.000000,8.000000,-0.000000,77.557076,0.000000
0.000000,153.000000,8.000000,-0.000000,78.221024,0.000000
0.000000,160.000000,8.000000,-0.643501,82.283035,0.000000
0.000000,161.000000,8.000000,-0.927295,84.674088,0.000000
0.000000,162.000000,8.000000,-0.000000,80.646233,0.000000
0.000000,152.000000,8.000000,0.201358,77.857231,0.000000
0.000000,165.000000,8.000000,-0.643501,77.825645,0.000000
0.000000,168.000000,8.000000,-0.927295,77.733757,0.000000
0.000000,171.000000,8.000000,0.000000,79.710716,0.000000
0.000000,172.000000,8.000000,0.000000,79.967949,0.000000
0.000000,173.000000,8.000000,0.000000,78.487625,0.000000
0.000000,174.000000,8.000000,0.411517,77.906059,0.000000
0.000000,115.000000,7.000000,-0.201358,79.977112,1.000000
0.000000,149.000000,8.000000,-0.201358,77.676987,1.000000
0.000000,148.000000,8.000000,-0.643501,78.389267,1.000000
0.000000,146.000000,8.000000,-0.000000,78.484810,1.000000
0.000000,145.000000,8.000000,-0.643501,80.649605,1.000000
0.000000,116.000000,8.000000,-0.000000,80.382080,1.000000
0.000000,186.000000,8.000000,-0.201358,81.396027,0.000000
0.000000,187.000000,8.000000,-0.201358,78.550812,0.000000
0.000000,115.000000,8.000000,-0.000000,85.351562,1.000000
0.000000,189.000000,8.000000,-0.000000,83.938179,0.000000
0.000000,190.000000,8.000000,-0.000000,82.851097,0.000000
0.000000,192.000000,8.000000,-0.411517,80.030258,0.000000
0.000000,193.000000,8.000000,0.000000,80.528999,0.000000
0.000000,114.000000,9.000000,-0.201358,79.124023,1.000000
0.000000,115.000000,9.000000,-0.643501,80.347710,1.000000
0.000000,114.000000,8.000000,0.201358,84.090240,1.000000
0.000000,113.000000,8.000000,0.000000,78.531784,1.000000
0.000000,189.000000,7.000000,-0.000000,78.588097,0.000000
0.000000,161.000000,9.000000,0.411517,79.535034,0.000000
0.000000,161.000000,7.000000,0.000000,79.200653,0.000000
0.000000,189.000000,9.000000,0.643501,78.634628,0.000000
0.000000,114.000000,7.000000,-0.643501,78.546127,1.000000
2.000000,81.000000,8.000000,-0.643501,101.524467,0.000000
2.000000,39.000000,8.000000,-0.000000,101.527405,0.000000
2.000000,41.000000,8.000000,0.201358,101.524727,0.000000
2.000000,140.000000,8.000000,-0.000000,101.528961,1.000000
2.000000,48.000000,8.000000,-0.000000,101.529305,0.000000
2.000000,143.000000,8.000000,-0.000000,101.541313,1.000000
2.000000,142.000000,8.000000,-0.411517,101.543961,1.000000
2.000000,82.000000,8.000000,0.000000,101.576050,0.000000
2.000000,83.000000,8.000000,-0.927295,101.544510,0.000000
