frame,range_bin,doppler_bin,angle_rad,snr,zone_flag
0.000000,116.000000,8.000000,-0.000000,74.080292,1.000000
0.000000,115.000000,8.000000,-0.643501,74.184303,1.000000
0.000000,109.000000,8.000000,-0.201358,74.205307,1.000000
0.000000,85.000000,8.000000,-0.643501,74.216835,0.000000
0.000000,73.000000,8.000000,-0.411517,74.334183,0.000000
0.000000,132.000000,8.000000,0.643501,75.684570,1.000000
0.000000,99.000000,8.000000,-0.000000,74.519073,1.000000
0.000000,177.000000,8.000000,-0.000000,74.958374,0.000000
0.000000,170.000000,8.000000,0.201358,75.649895,0.000000
0.000000,82.000000,8.000000,0.643501,74.920731,0.000000
0.000000,93.000000,8.000000,-0.643501,75.197281,1.000000
0.000000,86.000000,8.000000,-0.000000,75.334511,0.000000
0.000000,124.000000,8.000000,-0.411517,75.207191,1.000000
0.000000,83.000000,8.000000,0.643501,74.667122,0.000000
0.000000,141.000000,8.000000,0.000000,75.828568,1.000000
0.000000,151.000000,8.000000,0.000000,76.083664,0.000000
0.000000,104.000000,8.000000,-0.000000,76.046188,1.000000
0.000000,98.000000,8.000000,-0.000000,75.948029,1.000000
0.000000,182.000000,8.000000,-0.643501,76.025116,0.000000
0.000000,148.000000,9.000000,-0.000000,75.972008,1.000000
0.000000,139.000000,8.000000,0.000000,75.967239,1.000000
0.000000,179.000000,8.000000,0.643501,76.189804,0.000000
0.000000,136.000000,8.000000,0.000000,77.755013,1.000000
0.000000,135.000000,8.000000,0.000000,77.568207,1.000000
0.000000,134.000000,8.000000,-0.000000,76.451820,1.000000
0.000000,146.000000,8.000000,-0.000000,77.821701,1.000000
0.000000,160.000000,9.000000,-0.411517,77.630142,0.000000
0.000000,186.000000,8.000000,0.201358,77.314110,0.000000
0.000000,130.000000,8.000000,0.000000,77.529312,1.000000
0.000000,152.000000,8.000000,0.000000,76.445358,0.000000
0.000000,169.000000,8.000000,0.201358,77.902603,0.000000
0.000000,185.000000,8.000000,0.000000,77.746925,0.000000
0.000000,155.000000,8.000000,0.000000,77.342865,0.000000
0.000000,103.000000,8.000000,0.000000,76.277412,1.000000
