# range_bin,doppler_bin,angle_deg,snr,zone_flag
53.0,8,0.2,95.3,0
57.0,8,0.2,95.3,0
131.0,8,-0.0,95.3,1
161.0,8,0.5,95.3,0
56.0,8,0.2,95.3,0
104.0,8,0.3,95.3,1
70.0,8,0.2,95.3,0
98.0,8,0.4,95.3,1
174.0,8,-0.1,95.3,0
182.0,8,-0.1,95.3,0
61.0,8,-0.0,95.4,0
186.0,9,0.7,95.4,0
150.0,8,0.0,95.6,0
144.0,8,-0.1,95.6,1
75.0,8,0.2,95.4,0
151.0,8,0.1,95.5,0
183.0,8,0.5,95.5,0
184.0,8,1.2,95.6,0
152.0,8,0.2,95.5,0
71.0,8,0.3,95.5,0
132.0,8,0.3,95.4,1
180.0,8,-1.1,95.5,0
130.0,8,0.3,95.3,1
55.0,8,0.3,95.4,0
54.0,8,0.1,95.6,0
155.0,8,0.3,95.6,0
126.0,8,1.2,95.4,1
125.0,8,1.9,95.5,1
121.0,8,0.2,95.3,1
157.0,8,-0.2,95.4,0
162.0,8,2.7,95.6,0
164.0,8,2.8,95.6,0
165.0,8,2.9,95.3,0
60.0,8,-0.3,95.4,0
189.0,7,-10.0,95.3,0
72.0,8,0.7,95.4,0
141.0,8,2.5,95.7,1
128.0,8,2.4,95.8,1
129.0,8,2.0,95.9,1
192.0,8,4.8,96.2,0
142.0,8,4.7,95.8,1
143.0,8,8.4,95.7,1
145.0,8,27.5,95.8,1
146.0,8,30.6,95.9,1
147.0,8,24.5,95.7,1
153.0,8,3.0,95.8,0
154.0,8,1.8,95.7,0
156.0,8,-0.3,95.9,0
163.0,8,14.6,95.8,0
168.0,8,-86.6,96.1,0
169.0,8,-59.8,96.4,0
170.0,8,-56.2,96.0,0
175.0,8,-14.4,95.7,0
176.0,8,-9.1,96.5,0
177.0,8,-10.3,96.4,0
181.0,8,-46.2,95.8,0
185.0,8,7.1,96.6,0
186.0,8,7.1,98.2,0
187.0,8,7.3,97.4,0
188.0,8,7.7,96.4,0
189.0,8,8.6,96.6,0
190.0,8,10.2,96.1,0
191.0,8,12.2,95.8,0
193.0,8,16.1,96.0,0
159.0,8,-0.0,101.3,0
126.0,8,-0.1,101.3,1
171.0,8,-0.0,101.3,0
120.0,8,-0.0,101.3,1
161.0,8,0.3,101.3,0
134.0,8,-0.3,101.3,1
141.0,8,-0.1,101.3,1
78.0,8,0.1,101.3,0
140.0,8,-0.1,101.3,1
54.0,8,0.1,101.3,0
72.0,8,0.1,101.3,0
174.0,8,-0.2,101.4,0
157.0,8,0.2,101.5,0
121.0,8,-0.0,101.3,1
127.0,8,-0.1,101.4,1
132.0,8,-0.1,101.4,1
133.0,8,-0.3,101.4,1
136.0,8,0.0,101.5,1
76.0,8,0.1,101.4,0
137.0,8,0.1,101.4,1
149.0,8,0.5,101.4,1
187.0,8,0.5,101.4,0
71.0,8,0.0,101.4,0
155.0,8,0.1,101.5,0
75.0,8,0.0,101.5,0
177.0,8,0.8,102.1,0
176.0,8,0.6,102.2,0
175.0,8,0.1,101.7,0
154.0,8,-0.2,101.7,0
170.0,8,-0.1,102.1,0
169.0,8,0.4,102.2,0
168.0,8,0.6,101.7,0
165.0,8,-1.1,101.6,0
164.0,8,-0.9,101.8,0
163.0,8,-0.4,101.9,0
162.0,8,0.2,101.8,0
191.0,8,-2.4,101.8,0
156.0,8,1.2,102.0,0
128.0,8,2.4,101.6,1
129.0,8,2.7,101.8,1
138.0,8,2.2,101.9,1
139.0,8,2.6,102.2,1
142.0,8,12.1,101.9,1
143.0,8,20.5,102.0,1
144.0,8,23.2,101.7,1
145.0,8,20.8,102.0,1
146.0,8,17.9,102.1,1
147.0,8,16.1,101.9,1
148.0,8,15.1,101.5,1
150.0,8,10.9,101.6,0
180.0,8,28.8,101.6,0
181.0,8,20.3,101.6,0
151.0,8,11.5,101.7,0
152.0,8,8.8,101.6,0
183.0,8,9.5,101.5,0
184.0,8,8.5,101.7,0
185.0,8,8.2,102.1,0
186.0,8,8.2,102.7,0
153.0,8,22.9,101.8,0
188.0,8,8.4,101.7,0
