# range_bin,doppler_bin,angle_deg,snr,zone_flag
147.0,8,0.2,95.2,1
55.0,8,0.2,95.2,0
83.0,8,0.1,95.2,0
131.0,8,-0.0,95.2,1
66.0,8,0.2,95.2,0
188.0,8,-0.5,95.2,0
98.0,8,0.4,95.3,1
163.0,8,0.7,95.3,0
162.0,8,1.3,95.3,0
71.0,8,0.2,95.3,0
151.0,8,-0.2,95.3,0
173.0,8,0.3,95.3,0
75.0,8,0.1,95.3,0
193.0,7,2.8,95.3,0
183.0,8,0.5,95.3,0
150.0,8,-0.3,95.3,0
187.0,8,-0.7,95.3,0
141.0,8,0.6,95.3,1
158.0,8,0.7,95.3,0
135.0,8,-1.0,95.3,1
126.0,8,0.5,95.4,1
125.0,8,0.8,95.8,1
124.0,8,1.0,95.4,1
128.0,8,1.1,95.6,1
129.0,8,1.4,95.4,1
132.0,8,-0.3,96.1,1
133.0,8,-1.1,95.6,1
192.0,8,0.2,96.8,0
136.0,8,-0.7,95.5,1
137.0,8,0.2,95.8,1
138.0,8,1.0,95.5,1
139.0,8,1.7,95.8,1
140.0,8,2.4,96.0,1
143.0,8,-0.2,95.4,1
144.0,8,-2.5,95.4,1
149.0,8,0.1,95.4,1
152.0,8,0.2,95.6,0
153.0,8,0.2,95.4,0
154.0,8,0.4,95.5,0
155.0,8,1.1,95.5,0
156.0,8,3.3,95.7,0
157.0,8,7.2,95.3,0
167.0,8,0.6,95.4,0
74.0,8,1.6,95.5,0
73.0,8,1.4,95.4,0
72.0,8,1.2,95.5,0
168.0,8,0.5,96.1,0
169.0,8,0.6,95.8,0
67.0,8,1.2,95.3,0
170.0,8,0.8,95.6,0
171.0,8,1.8,95.5,0
172.0,8,4.8,95.4,0
176.0,8,15.8,95.5,0
177.0,8,11.9,95.6,0
178.0,8,9.7,95.4,0
179.0,8,9.6,95.8,0
180.0,8,13.3,96.0,0
181.0,8,22.2,95.8,0
182.0,8,29.9,95.4,0
192.0,7,4.3,95.8,0
186.0,8,21.7,95.6,0
189.0,8,6.4,95.5,0
191.0,8,8.2,95.4,0
193.0,8,13.2,97.4,0
57.0,8,0.2,101.2,0
81.0,8,0.2,101.3,0
61.0,8,0.0,101.3,0
74.0,8,0.1,101.3,0
87.0,8,0.1,101.3,0
82.0,8,0.2,101.3,0
127.0,8,-0.0,101.3,1
54.0,8,0.1,101.3,0
71.0,8,0.1,101.3,0
129.0,8,0.2,101.3,1
185.0,8,0.2,101.3,0
154.0,8,-0.0,101.4,0
188.0,8,-1.0,101.4,0
157.0,8,-0.0,101.4,0
178.0,8,-0.1,101.3,0
134.0,8,-0.5,101.3,1
131.0,8,-0.2,101.3,1
141.0,8,0.1,101.3,1
186.0,8,-0.3,101.4,0
128.0,8,0.5,101.4,1
126.0,8,0.2,101.4,1
75.0,8,-0.0,101.4,0
125.0,8,0.1,101.4,1
136.0,8,0.1,101.4,1
167.0,8,0.5,101.5,0
146.0,8,-0.1,101.5,1
148.0,8,0.1,101.6,1
145.0,8,-0.3,101.5,1
152.0,8,-0.2,101.6,0
140.0,8,1.1,101.5,1
182.0,8,2.2,101.5,0
155.0,8,-0.9,101.5,0
138.0,8,1.6,101.5,1
137.0,8,1.5,101.5,1
177.0,8,0.4,101.6,0
171.0,8,0.4,101.5,0
183.0,8,5.1,101.5,0
175.0,8,0.9,101.6,0
181.0,8,2.2,101.7,0
180.0,8,0.4,101.9,0
179.0,8,0.1,101.7,0
176.0,8,1.6,101.8,0
170.0,8,2.1,101.8,0
169.0,8,2.6,101.6,0
168.0,8,2.1,101.7,0
193.0,8,8.7,102.4,0
163.0,8,6.3,101.6,0
162.0,8,8.6,101.9,0
161.0,8,10.2,101.6,0
132.0,8,4.1,101.9,1
133.0,8,6.4,101.6,1
139.0,8,13.4,101.7,1
142.0,8,24.6,101.6,1
143.0,8,32.9,101.8,1
144.0,8,35.7,101.6,1
147.0,8,13.4,101.6,1
149.0,8,7.7,101.7,1
150.0,8,7.4,101.6,0
151.0,8,8.1,101.7,0
156.0,8,25.4,101.8,0
189.0,8,3.7,102.0,0
190.0,8,5.6,101.9,0
191.0,8,8.1,102.4,0
192.0,8,10.8,102.4,0
121.0,8,-0.2,101.2,1
86.0,8,0.2,101.2,0
60.0,8,0.0,101.2,0
71.0,8,0.1,101.2,0
