epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,168.264,0.89653,0.83964,1.1211,0.85574,0.7256,0.80462,0.60026,1.06091,0.94552,1.13265,0.001406,0.001406,0.001406
14,180.701,0.8712,0.81113,1.10548,0.86678,0.70698,0.80775,0.59423,1.14633,0.89302,1.19263,0.0013565,0.0013565,0.0013565
15,193.132,0.86843,0.79949,1.10129,0.8299,0.71879,0.80715,0.59674,1.09633,0.92681,1.13681,0.001307,0.001307,0.001307
16,205.695,0.86066,0.7951,1.09521,0.84351,0.71473,0.813,0.60896,1.10632,0.8783,1.17525,0.0012575,0.0012575,0.0012575
17,218.247,0.85193,0.78012,1.0985,0.84684,0.71277,0.81089,0.60725,1.06049,0.8809,1.13134,0.001208,0.001208,0.001208
18,230.989,0.85313,0.77651,1.10185,0.87061,0.73108,0.83021,0.624,0.99571,0.84642,1.09071,0.0011585,0.0011585,0.0011585
19,243.487,0.83459,0.74702,1.08432,0.84791,0.74217,0.83506,0.63012,1.0551,0.8383,1.12305,0.001109,0.001109,0.001109
20,255.95,0.82173,0.72692,1.08052,0.87438,0.70504,0.82047,0.63158,1.03817,0.87143,1.13398,0.0010595,0.0010595,0.0010595
21,268.282,0.82735,0.73217,1.07842,0.8849,0.74033,0.83912,0.63529,1.08549,0.82502,1.1593,0.00101,0.00101,0.00101
22,280.664,0.81783,0.71169,1.07807,0.89497,0.74954,0.84937,0.64401,1.06867,0.78957,1.14464,0.0009605,0.0009605,0.0009605
23,293.055,0.80977,0.72037,1.07492,0.88443,0.75138,0.85059,0.65504,1.02907,0.78099,1.12689,0.000911,0.000911,0.000911
24,305.44,0.78646,0.68452,1.06584,0.92483,0.74217,0.85606,0.65545,1.01166,0.78515,1.10264,0.0008615,0.0008615,0.0008615
25,317.836,0.78922,0.6835,1.06369,0.83946,0.78004,0.85248,0.65302,0.97312,0.75938,1.09165,0.000812,0.000812,0.000812
26,330.317,0.78103,0.66577,1.05762,0.89655,0.76611,0.85992,0.66336,0.98634,0.73442,1.08566,0.0007625,0.0007625,0.0007625
27,342.581,0.78782,0.66097,1.06088,0.90181,0.77804,0.87149,0.67008,1.04464,0.74846,1.10888,0.000713,0.000713,0.000713
28,354.881,0.77494,0.64898,1.05252,0.89934,0.77334,0.85584,0.65446,1.00493,0.72211,1.09362,0.0006635,0.0006635,0.0006635
29,367.35,0.75378,0.64362,1.04929,0.88822,0.78821,0.86775,0.6824,0.9929,0.70932,1.08985,0.000614,0.000614,0.000614
30,379.565,0.74341,0.63,1.043,0.91217,0.80331,0.87322,0.67047,1.02686,0.67804,1.1265,0.0005645,0.0005645,0.0005645
31,410.282,0.70206,0.57447,0.9893,0.8781,0.7827,0.85561,0.66433,0.96941,0.73526,1.06998,0.000515,0.000515,0.000515
32,422.385,0.69349,0.52641,0.9862,0.90739,0.79398,0.87361,0.66125,0.97055,0.723,1.07235,0.0004655,0.0004655,0.0004655
33,434.424,0.67536,0.50599,0.9752,0.88805,0.80295,0.8665,0.67352,0.94421,0.73134,1.06769,0.000416,0.000416,0.000416
34,446.466,0.66459,0.49393,0.97026,0.90496,0.76796,0.86579,0.67354,1.00355,0.70968,1.10715,0.0003665,0.0003665,0.0003665
35,458.36,0.65279,0.48343,0.9691,0.90903,0.77295,0.8651,0.67513,0.96375,0.71795,1.08609,0.000317,0.000317,0.000317
36,469.993,0.65186,0.46855,0.97179,0.92834,0.77532,0.87833,0.6771,0.94021,0.70872,1.06474,0.0002675,0.0002675,0.0002675
37,481.851,0.63342,0.45087,0.95527,0.92017,0.79742,0.88246,0.68349,0.96303,0.72123,1.09625,0.000218,0.000218,0.000218
38,493.809,0.62937,0.43406,0.95643,0.93943,0.79971,0.8815,0.6841,0.95805,0.71757,1.08124,0.0001685,0.0001685,0.0001685
39,505.584,0.61006,0.42012,0.9434,0.93082,0.80663,0.8791,0.68437,0.97037,0.70474,1.09835,0.000119,0.000119,0.000119
40,517.623,0.61085,0.41847,0.94297,0.91622,0.81768,0.88085,0.68451,0.96474,0.71318,1.09214,6.95e-05,6.95e-05,6.95e-05
