# range_bin,doppler_bin,angle_deg,snr,zone_flag
70.0,8,-0.0,95.0,0
67.0,8,0.2,95.1,0
137.0,8,-0.1,95.1,1
178.0,8,-0.6,95.1,0
125.0,8,0.1,95.1,1
158.0,8,0.5,95.1,0
47.0,8,-0.1,95.1,0
71.0,8,0.0,95.1,0
68.0,8,0.0,95.1,0
150.0,8,-0.1,95.1,0
123.0,8,-0.1,95.1,1
120.0,8,0.2,95.1,1
69.0,8,-0.1,95.1,0
72.0,8,0.1,95.1,0
165.0,8,0.2,95.1,0
141.0,8,0.6,95.1,1
109.0,8,-0.2,95.2,1
110.0,8,-0.6,95.3,1
46.0,8,-0.8,95.2,0
166.0,8,0.1,95.2,0
167.0,8,-0.1,95.2,0
124.0,8,0.4,95.2,1
170.0,8,-0.3,95.2,0
45.0,8,-1.3,95.2,0
172.0,8,1.1,95.3,0
192.0,8,0.8,95.4,0
133.0,8,0.4,95.4,1
134.0,8,0.6,95.3,1
48.0,8,-1.1,95.3,0
153.0,8,-5.1,95.4,0
152.0,8,-4.9,95.2,0
187.0,8,19.4,95.3,0
190.0,8,3.7,95.2,0
140.0,8,6.9,95.3,1
144.0,8,10.1,95.1,1
142.0,8,11.3,95.2,1
143.0,8,12.4,95.3,1
145.0,8,12.8,95.3,1
146.0,8,13.2,95.2,1
147.0,8,12.7,95.3,1
60.0,8,1.3,95.3,0
111.0,8,-3.4,95.2,1
137.0,9,12.7,95.4,1
135.0,8,15.3,95.4,1
136.0,8,16.3,95.4,1
148.0,8,20.0,95.7,1
59.0,8,0.6,95.5,0
149.0,8,1.9,95.5,1
154.0,8,-30.5,96.0,0
155.0,8,-27.4,96.2,0
156.0,8,-18.9,95.5,0
157.0,8,-9.8,95.5,0
159.0,8,-2.0,95.5,0
160.0,8,-0.8,96.1,0
171.0,8,14.0,95.4,0
173.0,8,6.8,95.4,0
174.0,8,3.0,96.2,0
175.0,8,-2.7,96.3,0
179.0,8,-24.9,95.8,0
170.0,7,3.4,95.6,0
180.0,8,-19.4,95.6,0
186.0,8,30.0,95.5,0
193.0,9,4.4,95.6,0
193.0,8,4.4,95.7,0
87.0,8,0.0,100.9,0
58.0,8,0.1,101.0,0
111.0,8,-0.3,101.0,1
126.0,8,0.1,101.0,1
68.0,8,0.0,101.0,0
180.0,8,-0.3,101.0,0
123.0,8,-0.1,101.0,1
151.0,8,-0.2,101.1,0
184.0,8,0.2,101.0,0
82.0,8,0.1,101.0,0
129.0,8,-0.4,101.0,1
112.0,8,-0.2,101.0,1
124.0,8,0.2,101.0,1
186.0,8,-0.4,101.1,0
154.0,8,-0.1,101.7,0
155.0,8,-0.0,101.8,0
137.0,8,-0.4,102.0,1
136.0,8,-0.3,101.6,1
135.0,8,-0.3,101.2,1
138.0,8,-0.5,101.2,1
71.0,8,-0.1,101.1,0
70.0,8,-0.3,101.1,0
69.0,8,-0.3,101.2,0
153.0,8,-0.6,101.4,0
156.0,8,0.2,101.4,0
157.0,8,1.0,101.2,0
152.0,8,-1.0,101.1,0
159.0,8,2.3,101.2,0
160.0,8,2.4,101.4,0
142.0,8,1.8,101.2,1
140.0,8,0.7,101.2,1
150.0,8,-1.3,101.2,0
149.0,8,-0.9,101.4,1
59.0,8,0.2,101.3,0
141.0,8,3.0,101.1,1
163.0,8,1.4,101.6,0
164.0,8,0.8,101.6,0
165.0,8,0.4,101.6,0
166.0,8,0.5,101.6,0
167.0,8,1.3,101.5,0
168.0,8,3.3,101.6,0
169.0,8,6.3,101.7,0
170.0,8,8.7,101.9,0
148.0,8,-3.2,101.6,1
147.0,8,2.5,101.2,1
171.0,8,10.8,101.5,0
172.0,8,10.6,101.3,0
173.0,8,10.0,101.3,0
146.0,8,10.4,101.1,1
174.0,8,9.8,101.6,0
175.0,8,9.1,101.6,0
178.0,8,-3.1,101.6,0
179.0,8,8.3,101.8,0
145.0,8,21.2,101.4,1
182.0,8,13.7,101.2,0
183.0,8,17.1,101.4,0
144.0,8,26.4,101.2,1
185.0,8,30.4,101.4,0
193.0,8,-0.9,101.7,0
192.0,8,-2.0,101.4,0
191.0,8,-2.2,101.2,0
190.0,8,-1.6,101.5,0
189.0,8,2.4,101.1,0
143.0,8,32.1,101.4,1
186.0,8,-0.6,101.0,0
147.0,8,0.0,101.3,1
148.0,8,0.2,101.7,1
146.0,8,-0.1,101.2,1
145.0,8,-0.0,101.4,1
149.0,8,0.2,101.4,1
150.0,8,-0.0,101.2,0
151.0,8,-0.2,101.1,0
144.0,8,0.2,101.2,1
82.0,8,0.1,101.1,0
152.0,8,-0.2,101.2,0
153.0,8,-0.1,101.5,0
143.0,8,0.3,101.4,1
154.0,8,0.0,101.7,0
155.0,8,-0.0,101.8,0
156.0,8,-0.0,101.4,0
142.0,8,0.3,101.3,1
141.0,8,-0.0,101.2,1
140.0,8,-0.3,101.2,1
138.0,8,-0.4,101.2,1
71.0,8,-0.1,101.1,0
70.0,8,-0.2,101.1,0
69.0,8,-0.3,101.2,0
68.0,8,-0.3,101.0,0
137.0,8,-0.3,102.1,1
159.0,8,1.6,101.3,0
160.0,8,1.8,101.6,0
136.0,8,-0.1,101.6,1
162.0,8,1.3,101.0,0
135.0,8,0.2,101.2,1
163.0,8,0.9,101.7,0
164.0,8,0.4,101.7,0
129.0,8,-0.1,101.1,1
59.0,8,0.2,101.2,0
127.0,8,0.8,101.0,1
165.0,8,0.1,101.7,0
166.0,8,-0.1,101.6,0
167.0,8,0.3,101.5,0
168.0,8,1.7,101.6,0
169.0,8,4.2,101.7,0
170.0,8,6.7,101.9,0
171.0,8,8.0,101.6,0
172.0,8,8.2,101.5,0
126.0,8,2.9,101.1,1
124.0,8,5.6,101.0,1
123.0,8,8.4,101.1,1
173.0,8,9.2,101.4,0
174.0,8,8.5,101.7,0
111.0,8,-0.1,101.0,1
175.0,8,8.0,101.7,0
112.0,8,-0.5,101.1,1
178.0,8,-34.0,101.7,0
179.0,8,8.1,101.9,0
180.0,8,12.2,101.1,0
182.0,8,14.9,101.2,0
183.0,8,19.0,101.4,0
184.0,8,26.5,101.0,0
185.0,8,38.3,101.3,0
193.0,8,-0.5,101.8,0
192.0,8,-2.7,101.5,0
191.0,8,-4.3,101.2,0
190.0,8,-6.2,101.6,0
189.0,8,-10.1,101.2,0
157.0,8,3.8,101.3,0
49.0,8,0.3,101.0,0
111.0,8,-0.2,101.0,1
74.0,8,0.2,101.0,0
123.0,8,-0.1,101.0,1
124.0,8,0.1,101.0,1
68.0,8,0.0,101.0,0
126.0,8,0.1,101.0,1
82.0,8,0.1,101.1,0
180.0,8,-0.4,101.0,0
129.0,8,-0.4,101.1,1
127.0,8,-0.1,101.0,1
186.0,8,-0.2,101.1,0
135.0,8,-0.2,101.2,1
59.0,8,0.1,101.2,0
112.0,8,-0.1,101.1,1
138.0,8,-0.4,101.3,1
157.0,8,0.2,101.2,0
140.0,8,-0.3,101.2,1
141.0,8,0.0,101.1,1
142.0,8,0.4,101.2,1
69.0,8,-0.2,101.2,0
144.0,8,0.6,101.3,1
70.0,8,-0.2,101.1,0
146.0,8,0.3,101.2,1
147.0,8,0.2,101.3,1
182.0,8,1.7,101.2,0
183.0,8,2.4,101.3,0
150.0,8,-0.7,101.3,0
151.0,8,-1.2,101.2,0
152.0,8,-1.4,101.2,0
71.0,8,-0.3,101.1,0
185.0,8,5.7,101.3,0
191.0,8,-0.9,101.2,0
189.0,8,-1.5,101.2,0
145.0,8,2.1,101.4,1
190.0,8,-1.4,101.5,0
192.0,8,-1.0,101.5,0
193.0,8,-1.0,101.7,0
149.0,8,-3.0,101.5,1
148.0,8,-1.3,101.6,1
143.0,8,6.7,101.4,1
179.0,8,-2.3,101.8,0
178.0,8,-6.3,101.7,0
175.0,8,5.3,101.7,0
174.0,8,7.6,101.6,0
173.0,8,9.3,101.4,0
172.0,8,10.9,101.4,0
171.0,8,12.3,101.6,0
170.0,8,13.0,101.9,0
169.0,8,12.3,101.6,0
168.0,8,10.1,101.6,0
167.0,8,7.6,101.5,0
166.0,8,6.1,101.6,0
165.0,8,5.8,101.6,0
164.0,8,6.3,101.6,0
163.0,8,7.2,101.6,0
137.0,8,9.7,102.1,1
160.0,8,9.4,101.5,0
159.0,8,9.8,101.4,0
136.0,8,12.1,101.6,1
154.0,8,-20.9,101.7,0
156.0,8,-0.9,101.4,0
155.0,8,-14.1,101.8,0
153.0,8,-25.6,101.5,0
123.0,8,-0.1,101.0,1
74.0,8,0.2,101.0,0
127.0,8,-0.2,101.0,1
75.0,8,0.2,101.1,0
147.0,8,0.0,101.3,1
70.0,8,0.0,101.1,0
69.0,8,0.0,101.2,0
182.0,8,0.3,101.1,0
68.0,8,0.0,101.1,0
138.0,8,-0.4,101.3,1
112.0,8,-0.1,101.2,1
183.0,8,0.5,101.3,0
111.0,8,-0.3,101.1,1
140.0,8,-0.4,101.3,1
141.0,8,-0.2,101.2,1
186.0,8,-0.2,101.1,0
82.0,8,0.1,101.1,0
59.0,8,0.0,101.3,0
142.0,8,0.3,101.3,1
189.0,8,-0.4,101.3,0
157.0,8,0.4,101.3,0
143.0,8,0.7,101.4,1
144.0,8,0.7,101.4,1
129.0,8,-0.5,101.1,1
152.0,8,-0.7,101.2,0
191.0,8,-0.5,101.2,0
151.0,8,-0.8,101.1,0
126.0,8,0.7,101.1,1
180.0,8,-0.4,101.1,0
135.0,8,-0.1,101.3,1
150.0,8,-1.0,101.3,0
146.0,8,1.4,101.2,1
162.0,8,1.8,101.1,0
71.0,8,-0.6,101.1,0
156.0,8,0.3,101.4,0
164.0,8,1.0,101.7,0
165.0,8,0.6,101.6,0
166.0,8,0.4,101.6,0
167.0,8,0.8,101.5,0
168.0,8,2.0,101.6,0
169.0,8,4.3,101.6,0
163.0,8,2.7,101.8,0
170.0,8,7.3,101.9,0
193.0,8,-1.8,101.7,0
192.0,8,-2.1,101.6,0
160.0,8,5.6,101.6,0
159.0,8,6.3,101.4,0
190.0,8,-3.7,101.6,0
148.0,8,-11.4,101.7,1
136.0,8,3.1,101.6,1
185.0,8,35.5,101.4,0
137.0,8,4.1,102.1,1
155.0,8,-10.3,101.9,0
154.0,8,-15.5,101.8,0
153.0,8,-18.3,101.5,0
172.0,8,13.7,101.4,0
179.0,8,25.9,101.9,0
178.0,8,40.1,101.6,0
145.0,8,33.9,101.4,1
149.0,8,-47.1,101.5,1
175.0,8,14.2,101.7,0
174.0,8,14.0,101.7,0
173.0,8,14.6,101.4,0
171.0,8,16.2,101.6,0
120.0,8,0.4,101.0,1
111.0,8,-0.2,101.0,1
83.0,8,0.1,101.0,0
129.0,8,-0.3,101.0,1
82.0,8,0.1,101.1,0
75.0,8,0.2,101.0,0
123.0,8,-0.0,101.1,1
126.0,8,0.1,101.0,1
186.0,8,-0.5,101.1,0
127.0,8,-0.1,101.0,1
182.0,8,0.4,101.1,0
180.0,8,-0.4,101.1,0
68.0,8,0.0,101.0,0
151.0,8,-0.1,101.1,0
135.0,8,-0.2,101.2,1
136.0,8,-0.3,101.6,1
164.0,8,0.2,101.7,0
154.0,8,-0.1,101.8,0
165.0,8,0.1,101.5,0
69.0,8,-0.1,101.2,0
138.0,8,-0.5,101.3,1
70.0,8,-0.2,101.2,0
71.0,8,-0.2,101.2,0
59.0,8,-0.0,101.2,0
166.0,8,-0.1,101.6,0
167.0,8,-0.1,101.5,0
163.0,8,0.7,101.7,0
168.0,8,0.1,101.6,0
140.0,8,0.2,101.3,1
141.0,8,1.2,101.2,1
142.0,8,2.0,101.3,1
143.0,8,2.4,101.3,1
150.0,8,-1.2,101.3,0
144.0,8,2.6,101.3,1
160.0,8,3.1,101.6,0
159.0,8,3.4,101.4,0
152.0,8,-2.8,101.2,0
169.0,8,2.7,101.6,0
