# range_bin,doppler_bin,angle_deg,snr,zone_flag
87.0,8,0.3,101.1,0
86.0,8,0.3,101.1,0
45.0,8,0.4,101.1,0
183.0,8,-0.6,101.2,0
192.0,8,-0.4,102.0,0
186.0,8,-0.1,101.5,0
125.0,8,-0.3,101.3,1
126.0,8,-0.2,101.5,1
128.0,8,-0.1,101.2,1
129.0,8,-0.1,101.5,1
132.0,8,-0.1,101.3,1
135.0,8,-0.1,101.4,1
136.0,8,-0.1,101.4,1
137.0,8,-0.1,102.1,1
138.0,8,-0.1,102.5,1
139.0,8,-0.1,101.7,1
140.0,8,-0.1,101.5,1
80.0,8,0.2,101.2,0
79.0,8,0.3,101.3,0
78.0,8,0.3,101.2,0
77.0,8,0.2,101.4,0
76.0,8,0.1,101.4,0
75.0,8,-0.0,101.7,0
74.0,8,-0.1,101.6,0
141.0,8,0.1,101.8,1
142.0,8,0.6,101.8,1
143.0,8,1.0,101.3,1
70.0,8,-0.0,101.2,0
146.0,8,0.2,101.3,1
148.0,8,0.2,101.2,1
149.0,8,0.6,101.2,1
150.0,8,1.1,101.3,0
151.0,8,1.3,101.4,0
64.0,8,0.2,101.3,0
63.0,8,-0.2,101.4,0
62.0,8,-0.4,101.5,0
61.0,8,-0.3,101.4,0
60.0,8,-0.0,101.2,0
59.0,8,0.5,101.3,0
58.0,8,1.0,101.3,0
57.0,8,1.4,101.2,0
56.0,8,1.4,101.3,0
55.0,8,1.1,101.2,0
157.0,8,0.0,101.2,0
185.0,8,6.0,101.9,0
184.0,8,3.9,101.3,0
161.0,8,4.3,101.6,0
162.0,8,3.3,101.7,0
163.0,8,3.0,101.4,0
164.0,8,3.0,101.8,0
165.0,8,3.4,101.9,0
166.0,8,4.2,101.3,0
167.0,8,6.0,101.2,0
168.0,8,9.2,101.4,0
169.0,8,10.7,101.2,0
170.0,8,8.3,101.4,0
171.0,8,7.6,101.5,0
176.0,8,8.7,101.3,0
177.0,8,7.9,101.2,0
179.0,8,5.3,101.5,0
180.0,8,4.4,101.8,0
181.0,8,4.5,101.2,0
193.0,8,2.0,102.4,0
154.0,8,-0.1,101.1,0
44.0,8,0.4,101.1,0
54.0,8,0.0,101.1,0
128.0,8,0.1,101.1,1
157.0,8,-0.0,101.1,0
87.0,8,0.4,101.2,0
177.0,8,-0.2,101.2,0
134.0,8,-0.1,101.2,1
60.0,8,0.2,101.2,0
148.0,8,0.1,101.2,1
171.0,8,0.0,101.2,0
67.0,8,0.1,101.2,0
169.0,8,-0.3,101.2,0
50.0,8,0.2,101.2,0
68.0,8,0.0,101.2,0
184.0,8,-0.2,101.2,0
49.0,8,0.2,101.2,0
45.0,8,0.6,101.2,0
