# range_bin,doppler_bin,angle_deg,snr,zone_flag
183.0,8,-0.1,95.3,0
151.0,8,0.1,95.3,0
118.0,8,-0.3,95.3,1
76.0,8,0.1,95.3,0
121.0,8,-0.0,95.5,1
120.0,8,-0.1,95.6,1
119.0,8,-0.3,95.4,1
139.0,8,0.2,95.5,1
140.0,8,0.5,95.6,1
141.0,8,0.8,95.8,1
142.0,8,0.9,95.8,1
143.0,8,0.5,95.8,1
144.0,8,-0.1,95.4,1
128.0,8,0.2,95.7,1
98.0,8,0.3,95.4,1
146.0,8,-0.5,95.6,1
147.0,8,-0.2,95.5,1
149.0,8,0.6,95.4,1
129.0,8,0.3,95.6,1
138.0,8,0.7,95.4,1
152.0,8,0.2,95.7,0
153.0,8,0.1,96.0,0
124.0,8,0.2,95.8,1
154.0,8,0.2,96.1,0
155.0,8,0.2,96.2,0
156.0,8,0.3,96.4,0
157.0,8,0.7,95.7,0
158.0,8,1.6,95.4,0
135.0,8,0.1,95.5,1
75.0,8,0.7,95.5,0
126.0,8,1.7,95.3,1
162.0,8,5.3,95.8,0
163.0,8,4.7,95.8,0
164.0,8,3.7,95.5,0
168.0,8,2.0,95.6,0
169.0,8,2.1,96.0,0
170.0,8,2.0,95.8,0
171.0,8,2.3,95.4,0
172.0,8,3.5,95.6,0
175.0,8,8.6,95.5,0
176.0,8,10.2,95.8,0
177.0,8,11.9,95.9,0
178.0,8,14.4,95.5,0
179.0,8,17.9,96.1,0
180.0,8,21.0,96.0,0
125.0,8,10.2,95.9,1
184.0,8,10.1,96.0,0
55.0,8,1.5,95.6,0
54.0,8,3.1,95.7,0
53.0,8,6.5,95.5,0
136.0,8,15.0,95.7,1
185.0,8,16.0,96.0,0
186.0,8,17.2,95.9,0
187.0,8,17.5,95.6,0
188.0,8,16.8,95.8,0
189.0,8,15.6,96.2,0
45.0,8,8.8,95.5,0
44.0,8,12.6,95.4,0
190.0,8,15.9,96.0,0
191.0,8,15.9,95.9,0
192.0,8,16.4,96.1,0
193.0,8,16.9,96.5,0
189.0,7,23.5,95.5,0
137.0,8,25.4,95.5,1
54.0,8,0.1,101.3,0
57.0,8,0.1,101.3,0
56.0,8,0.2,101.3,0
165.0,8,0.0,101.3,0
126.0,8,-0.1,101.3,1
75.0,8,0.2,101.3,0
61.0,8,0.1,101.3,0
132.0,8,-0.2,101.3,1
133.0,8,-0.4,101.4,1
158.0,8,0.1,101.5,0
128.0,8,0.1,101.5,1
127.0,8,0.0,101.4,1
135.0,8,-0.3,101.3,1
136.0,8,-0.2,101.6,1
137.0,8,-0.0,101.5,1
186.0,8,-0.2,101.5,0
175.0,8,0.6,101.5,0
140.0,8,0.7,101.4,1
141.0,8,0.8,101.5,1
184.0,8,0.0,101.5,0
161.0,8,1.3,101.5,0
144.0,8,-0.1,101.4,1
121.0,8,0.4,101.3,1
145.0,8,-0.2,101.4,1
177.0,8,0.9,101.4,0
120.0,8,0.1,101.4,1
119.0,8,-0.6,101.4,1
118.0,8,-1.1,101.3,1
181.0,8,0.6,101.4,0
171.0,8,0.3,101.4,0
149.0,8,1.1,101.4,1
50.0,8,-1.6,101.5,0
178.0,8,1.6,101.3,0
49.0,8,-1.6,101.5,0
138.0,8,2.7,101.6,1
154.0,8,-1.1,101.6,0
153.0,8,-0.8,101.7,0
151.0,8,0.8,101.6,0
150.0,8,1.8,101.7,0
147.0,8,4.1,101.7,1
139.0,8,6.9,101.6,1
176.0,8,5.8,101.6,0
164.0,8,1.9,101.6,0
168.0,8,2.5,101.7,0
157.0,8,5.6,101.6,0
