# range_bin,doppler_bin,angle_deg,snr,zone_flag
170.0,8,0.9,102.1,0
169.0,8,1.1,102.3,0
168.0,8,0.6,102.2,0
164.0,8,1.8,102.1,0
163.0,8,3.8,102.1,0
156.0,8,-2.0,102.1,0
147.0,8,13.1,102.0,1
193.0,8,1.7,102.4,0
192.0,8,-2.8,102.5,0
191.0,8,-7.1,102.3,0
190.0,8,-11.1,102.4,0
189.0,8,-13.8,102.7,0
146.0,8,22.1,102.2,1
138.0,8,4.6,102.0,1
186.0,8,9.5,102.4,0
185.0,8,9.8,102.0,0
184.0,8,9.5,102.1,0
183.0,8,9.5,102.1,0
139.0,8,5.8,102.4,1
181.0,8,12.5,102.3,0
142.0,8,16.2,102.1,1
143.0,8,23.5,102.3,1
176.0,8,70.0,102.3,0
120.0,8,-0.0,101.5,1
48.0,8,0.3,101.5,0
71.0,8,0.1,101.5,0
160.0,8,0.2,101.5,0
45.0,8,0.1,101.5,0
154.0,8,0.1,101.5,0
118.0,8,-0.0,101.5,1
72.0,8,0.1,101.5,0
127.0,8,-0.1,101.6,1
182.0,8,0.2,101.5,0
117.0,8,-0.1,101.6,1
167.0,8,0.3,101.6,0
133.0,8,-0.2,101.6,1
165.0,8,-0.3,101.6,0
126.0,8,-0.1,101.6,1
149.0,8,0.4,101.6,1
157.0,8,-0.2,101.6,0
137.0,8,0.1,101.7,1
60.0,8,0.2,101.7,0
49.0,8,0.0,101.7,0
177.0,8,0.1,101.7,0
47.0,8,0.1,101.7,0
132.0,8,0.6,101.7,1
46.0,8,0.0,101.7,0
150.0,8,0.8,101.7,0
159.0,8,0.5,101.7,0
152.0,8,0.3,101.7,0
148.0,8,1.3,101.7,1
129.0,8,1.2,101.8,1
128.0,8,1.0,101.8,1
136.0,8,1.3,101.8,1
175.0,8,-0.4,101.9,0
151.0,8,1.1,101.8,0
125.0,8,0.4,101.8,1
116.0,8,-0.0,101.9,1
162.0,8,1.4,101.9,0
153.0,8,-0.5,101.7,0
183.0,8,2.1,101.9,0
184.0,8,2.8,101.9,0
188.0,8,-13.1,101.9,0
185.0,8,3.1,101.8,0
144.0,8,7.5,101.9,1
170.0,8,2.0,102.0,0
145.0,8,10.0,102.0,1
146.0,8,10.7,102.3,1
147.0,8,11.1,102.1,1
186.0,8,-0.5,102.0,0
143.0,8,14.3,102.3,1
142.0,8,11.1,102.1,1
189.0,8,-18.5,102.7,0
139.0,8,5.4,102.3,1
138.0,8,5.9,102.3,1
181.0,8,3.4,102.4,0
180.0,8,3.3,102.0,0
190.0,8,-13.3,102.3,0
191.0,8,-8.0,102.2,0
192.0,8,-3.2,102.4,0
176.0,8,2.8,102.3,0
193.0,8,1.4,102.2,0
168.0,8,-2.8,102.3,0
156.0,8,55.6,102.1,0
163.0,8,7.4,102.2,0
164.0,8,5.9,102.1,0
169.0,8,-4.0,102.4,0
115.0,8,-0.0,101.5,1
120.0,8,0.0,101.5,1
48.0,8,0.3,101.5,0
133.0,8,-0.2,101.5,1
124.0,8,-0.2,101.5,1
71.0,8,0.1,101.5,0
72.0,8,0.2,101.5,0
165.0,8,-0.1,101.5,0
117.0,8,-0.2,101.5,1
147.0,8,0.0,102.0,1
146.0,8,-0.1,102.3,1
148.0,8,0.2,101.7,1
149.0,8,0.2,101.6,1
150.0,8,0.3,101.6,0
151.0,8,0.3,101.7,0
116.0,8,-0.3,102.0,1
152.0,8,0.4,101.7,0
49.0,8,0.0,101.7,0
60.0,8,0.3,101.6,0
47.0,8,0.3,101.8,0
46.0,8,0.2,101.8,0
45.0,8,-0.1,101.5,0
145.0,8,0.2,102.1,1
144.0,8,0.3,101.9,1
153.0,8,0.4,101.8,0
154.0,8,0.1,101.6,0
143.0,8,0.5,102.3,1
156.0,8,-0.4,102.1,0
193.0,8,2.1,102.1,0
142.0,8,0.7,102.1,1
139.0,8,0.4,102.3,1
192.0,8,0.3,102.3,0
191.0,8,-2.2,102.2,0
190.0,8,-4.5,102.0,0
189.0,8,-6.0,102.4,0
188.0,8,-5.0,102.2,0
138.0,8,1.2,102.3,1
186.0,8,1.4,102.1,0
185.0,8,2.4,102.0,0
184.0,8,2.3,101.9,0
183.0,8,1.7,101.9,0
182.0,8,1.1,101.5,0
181.0,8,0.4,102.3,0
180.0,8,0.1,102.2,0
137.0,8,3.7,101.8,1
177.0,8,2.1,101.6,0
176.0,8,2.7,102.2,0
175.0,8,2.6,101.9,0
136.0,8,8.4,101.8,1
132.0,8,25.8,101.6,1
129.0,8,7.8,101.8,1
170.0,8,1.8,102.1,0
169.0,8,1.1,102.4,0
168.0,8,-0.7,102.4,0
167.0,8,-3.6,101.6,0
128.0,8,9.9,101.8,1
127.0,8,11.3,101.6,1
164.0,8,6.4,102.0,0
163.0,8,9.1,102.2,0
162.0,8,11.3,101.9,0
126.0,8,19.5,101.6,1
125.0,8,28.3,101.8,1
159.0,8,25.3,101.8,0
157.0,8,47.7,101.6,0
152.0,8,0.2,101.4,0
141.0,8,-0.1,101.4,1
45.0,8,0.1,101.4,0
137.0,8,0.1,101.4,1
120.0,8,0.0,101.4,1
167.0,8,0.1,101.4,0
72.0,8,0.1,101.5,0
165.0,8,-0.2,101.5,0
127.0,8,-0.1,101.5,1
133.0,8,-0.4,101.5,1
149.0,8,0.2,101.5,1
155.0,8,0.1,101.5,0
50.0,8,-0.1,101.5,0
48.0,8,0.2,101.4,0
126.0,8,-0.1,101.5,1
182.0,8,0.1,101.5,0
184.0,8,0.3,101.9,0
183.0,8,0.3,101.8,0
181.0,8,0.0,102.2,0
180.0,8,-0.1,101.8,0
177.0,8,0.3,101.7,0
189.0,8,-1.0,102.6,0
176.0,8,0.3,102.1,0
175.0,8,0.3,101.7,0
116.0,8,-0.6,101.6,1
125.0,8,0.1,101.6,1
128.0,8,0.4,101.7,1
129.0,8,0.6,101.8,1
132.0,8,0.5,101.6,1
136.0,8,1.0,101.6,1
138.0,8,0.5,102.0,1
139.0,8,0.3,102.3,1
142.0,8,0.6,102.1,1
143.0,8,1.3,102.3,1
60.0,8,0.3,101.6,0
144.0,8,2.6,101.9,1
145.0,8,3.6,101.9,1
146.0,8,4.7,102.2,1
147.0,8,5.5,102.0,1
148.0,8,6.0,101.6,1
150.0,8,5.0,101.6,0
151.0,8,4.3,101.6,0
153.0,8,1.6,101.7,0
154.0,8,0.9,101.6,0
